MP ID,Material,LO Frequency,,,TO Frequency,,,Number,Reference,Secondary Reference/Notes
20305,InAs,238,,,215,,,17,https://doi.org/10.1103/PhysRevLett.21.990,also has Ga(1-x)In(x)As alloys
20351,InP,345.32,,,303.62,,,11,https://doi.org/10.1016/j.ssc.2005.08.030,
20459,PbTiO3,"104, 410, 673",,,"210, 500",,,83,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
21276,PbS ,204.78,,,65,,,52,http://photonics.intec.ugent.be/education/ivpv/res_handbook/v2ch36.pdf,
21893,MnTe,216,,,185,,,61,DOI:10.1364/OE.21.011715,
22205,InN,586,,,447,,,65,DOI:10.1364/OE.21.011715,
22205,InN (beta),590,,,456,,,101,https://doi.org/10.1007/978-3-642-13884-3,
22862,NaCl,1030,,,1097,,,88,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
22867,RbBr,553,,,514,,,94,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
22898,KI,634,,,694,,,92,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
22903,RbI,471,,,450,,,95,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
22913,CuBr,183,,,136,,,29,10.1002/pssb.2220720125,
22914,CuCl,196,,,162,,,30,10.1002/pssb.2220720125,
22916,NaBr,842,,,907,,,89,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
23193,KCL,892,,,913,,,90,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
23251,KBr,710,,,754,,,91,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
23295,RbCl,728,,,743,,,93,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
23703,LiH,944,,,604,,,67,J. Phys.: Condens. Malter3(1991) 5515-5524.,
23870,NaH,354,,,172,,,68,J. Phys.: Condens. Malter3(1991) 5515-5524.,
546794,SiO2,210,,,133,,,50,"H.Grimm, H.Rzany, B.Dorner, H.Jagodzinski, Priv. commun. (1978)","M.M.Elcombe, Proc.Phys.Soc. (London) 91, 947 (1967)."
554278,TiO2,"373, 458, 806, 811",,,"183, 388, 500, 167",,,37,https://doi.org/10.1103/PhysRev.154.522,also has raman active phonons but does not say if they are optical?
556911,FeF2,,,,"200, 320, 480, 440",,,40,https://doi.org/10.1103/PhysRev.154.522,
570136,CuI,160,,,124,,,28,10.1002/pssb.2220720125,
571222,CsBr,459,,,450,,,97,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
573697,CsCl,622,,,574,,,96,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
714882,MnO,550.4,,,264.5,,,41,"B.C.Haywood, M.F.Collins, J.Phys. C 4, 1299 (1971)",
715434,NiO,582.07,,,390.6,,,36,"W.Rechardt, V.Wagner, W.Kress, J. Phys. C 8, 3956 (1975).",
715480,CoO,471,,,333.56,,,54,"J.Sakurai, W.J.S.Buyers, R.A.Cowley, Phys.Rev. 167, 510 (1968).","B.R.K.Gupta and M.P.Verma, J.Phys.Chem.Solids 38, 929 (1977)."
999540,MnSe,218,,,195,,,62,DOI:10.1364/OE.21.011715,
1018040,MgSe,312,,,237,,,63,DOI:10.1364/OE.21.011715,
MP-ID,FeF2,LO (longitudenal optical phonon frequency),,,TO (Transverse optical phonon frequency),,,count,Source,Notes
,E.G. (format),Γ valley,L valley,K valley,Γ valley,L valley,K valley,0,www......,1 THz = 33.35641 cm^-1
,GaN (wurtzite),,,,"555, 150, 558, 537, 330, 677 ",,,4,https://doi.org/10.1103/PhysRevB.51.11936,
,GaN (zinc blende),,,,551,,,5,https://doi.org/10.1103/PhysRevB.51.11936,
,AlN (wurtzite),,,,"649, 236, 631, 629, 553, 717 ",,,6,https://doi.org/10.1103/PhysRevB.51.11936,
,AlN (zinc blende),,,,652,,,7,https://doi.org/10.1103/PhysRevB.51.11936,
,SiC,,,,23,,,14,https://doi.org/10.1103/PhysRevB.44.1053,
,Al2O3 (2U),512,,,400,,,70,Physical Review B Vol 61 no 12 15 march 2000-II,
